annotation_id,assessment_date,evidence_id,title,source,publication_timestamp,passage,evidence_status,timestamp_validity,relevance_label,mechanism_labels,evidence_direction,supporting_passage,reviewer_rationale,reviewer_confidence,review_status
ANN-001,2026-05-29,CSU-2026-013,Tech stocks see largest hedge fund selloff in decade: Goldman Sachs,Investing.com reporting Goldman Sachs Prime Book data,2026-05-04,"The report said hedge funds made their largest decade-scale technology reduction, led by long sales; semiconductors and equipment were among the heaviest-sold groups.",verified,valid,,,,,,,
ANN-002,2026-05-29,CSU-2026-014,Hedge Funds Pile Back Into AI and Tech Stocks,HedgeCo Insights reporting Goldman Sachs Prime Brokerage data,2026-05-26,"The report said hedge funds rebuilt technology exposure rapidly, with global IT positions near record highs and buying focused on AI-linked semiconductor and infrastructure names.",verified,valid,,,,,,,
ANN-003,2026-05-29,CSU-2026-015,MacroMemo — May 5–25 2026,RBC Global Asset Management,2026-05-25,"RBC described a broad recovery from the March selloff and explosive semiconductor gains, while warning that SOX valuations and technical measures were historically stretched.",verified,valid,,,,,,,
ANN-004,2026-05-29,CSU-2026-005,Will Rising Capex Test Hyperscalers’ Credit Strength?,S&P Global Ratings,2026-05-14T13:02:00-04:00,"S&P estimated five large cloud providers would spend about $750 billion in 2026, pressuring free cash flow even as first-quarter revenue and earnings accelerated.",verified,valid,,,,,,,
ANN-005,2026-05-29,CSU-2026-004,Amazon.com Announces First Quarter Results,Amazon Investor Relations,2026-04-29,"Amazon said trailing free cash flow fell to $1.2 billion as AI property-and-equipment investment rose; AWS revenue nevertheless grew 28%.",verified,valid,,,,,,,
ANN-006,2026-05-29,CSU-2026-003,Meta Reports First Quarter 2026 Results,Meta Investor Relations,2026-04-29,"Meta raised 2026 capex guidance to $125–145 billion, citing higher component pricing and additional data-center costs, while reporting 33% revenue growth.",verified,valid,,,,,,,
ANN-007,2026-05-29,CSU-2026-001,NVIDIA Announces Financial Results for First Quarter Fiscal 2027,NVIDIA Investor Relations,2026-05-20,"NVIDIA reported record quarterly revenue of $81.6 billion and record Data Center revenue of $75.2 billion, up 85% and 92% year over year.",verified,valid,,,,,,,
ANN-008,2026-05-29,CSU-2026-008,Coherent Reports Third Quarter Fiscal 2026 Results,Coherent Investor Relations,2026-05-06,"Coherent reported 21% year-over-year revenue growth and said exceptionally strong datacenter and communications demand was driving capacity expansion.",verified,valid,,,,,,,
ANN-009,2026-05-29,CSU-2026-009,Lumentum Announces Third Quarter Fiscal 2026 Financial Results,Lumentum Investor Relations,2026-05-05,"Lumentum reported record revenue of $808.4 million, up 90% year over year, with strength in laser chips and scale-across optical components.",verified,valid,,,,,,,
ANN-010,2026-05-29,CSU-2026-012,TSMC April 2026 Revenue Report,TSMC,2026-05-08,"TSMC reported April revenue of NT$410.73 billion, down 1.1% sequentially but up 17.5% from April 2025.",verified,valid,,,,,,,
ANN-011,2026-05-29,CSU-2026-006,Cisco Reports Third Quarter Earnings,Cisco Investor Relations,2026-05-13,"Cisco raised expected FY26 hyperscaler AI-infrastructure orders to $9 billion; data-center switching orders grew more than 40% year over year.",verified,valid,,,,,,,
ANN-012,2026-05-29,CSU-2026-002,Microsoft Fiscal Year 2026 Third Quarter Earnings Conference Call,Microsoft Investor Relations,2026-04-29,"Microsoft said quarterly capex was $31.9 billion, AI demand continued to exceed supply, and calendar-2026 capex was expected near $190 billion.",verified,valid,,,,,,,
